Country,Composite,Universal Access,Free and Open,Relevant Content,Empowerment,Abbreviation
Sweden,1,3,6,5,2,SWE
Norway,2,6,1,4,4,NOR
United Kingdom,3,8,24,1,3,GBR
United States,4,12,27,10,1,USA
New Zealand,5,11,8,3,5,NZL
Denmark,6,2,7,7,12,DNK
Finland,7,9,2,13,10,FIN
Iceland,8,1,3,9,17,ISL
France,9,16,5,8,6,FRA
Korea (Rep. of),10,4,33,6,8,KOR
Australia,11,15,30,2,7,AUS
Netherlands,12,18,4,12,13,NLD
Japan,13,14,15,15,9,JPN
Austria,14,10,16,16,15,AUT
Canada,15,17,26,11,11,CAN
Germany,16,7,19,17,14,DEU
Switzerland,17,13,10,25,18,CHE
Estonia,18,22,11,30,16,EST
Ireland,19,25,14,18,25,IRL
Belgium,20,20,23,23,22,BEL
Poland,21,27,18,28,19,POL
Italy,22,21,21,26,23,ITA
Portugal,23,19,9,27,33,PRT
Czech Republic,24,23,17,33,20,CZE
Israel,25,26,31,19,24,ISR
Greece,26,29,12,22,32,GRC
Chile,27,30,22,21,29,CHL
Spain,28,24,28,40,28,ESP
Uruguay,29,32,13,34,42,URY
Mexico,30,38,32,29,31,MEX
Singapore,31,5,70,14,35,SGP
Colombia,32,33,40,31,26,COL
Brazil,33,37,36,41,27,BRA
Costa Rica,34,52,25,39,34,CRI
South Africa,35,34,20,48,37,ZAF
Argentina,36,42,43,24,40,ARG
Malaysia,37,36,62,32,21,MYS
Philippines,38,48,44,42,38,PHL
Peru,39,56,29,43,50,PER
Mauritius,40,46,34,45,52,MUS
Russia,41,43,67,35,30,RUS
Hungary,42,53,37,51,45,HUN
Ecuador,43,47,51,44,46,ECU
Tunisia,44,51,45,53,41,TUN
United Arab Emirates,45,31,74,20,55,ARE
Thailand,46,40,63,52,39,THA
Jamaica,47,55,41,49,58,JAM
Indonesia,48,57,48,46,53,IDN
Kazakhstan,49,44,75,36,44,KAZ
Bahrain,50,35,71,37,51,BHR
Qatar,51,28,77,38,60,QAT
Venezuela,52,39,64,50,54,VEN
Kenya,53,63,57,55,36,KEN
Morocco,54,67,55,56,43,MAR
Ghana,55,66,35,60,62,GHA
India,56,62,47,63,48,IND
China,57,45,79,47,49,CHN
Turkey,58,54,58,59,57,TUR
Tanzania,59,61,42,65,56,TZA
Namibia,60,49,39,66,76,NAM
Senegal,61,70,50,64,47,SEN
Jordan,62,41,73,54,63,JOR
Egypt,63,58,66,57,66,EGY
Bangladesh,64,65,56,61,65,BGD
Uganda,65,73,49,76,59, UGA
Zambia,66,72,53,70,61,ZMB
Nigeria,67,60,59,68,69,NGA
Botswana,68,64,46,77,80,BWA
Saudi Arabia,69,50,81,58,74,SAU
Benin,70,80,38,72,78,BEN
Nepal,71,75,61,67,71,NPL
Viet Nam,72,59,80,62,72,VNM
Burkina Faso,73,77,54,73,75,BFA
Malawi,74,79,52,81,68,MWI
Rwanda,75,71,69,71,64,RWA
Cameroon,76,76,65,75,70,CMR
Pakistan,77,68,76,69,67,PAK
Zimbabwe,78,69,68,78,73,ZWE
Mali,79,74,60,80,81,MLI
Ethiopia,80,81,72,79,77,ETH
Yemen,81,78,78,74,79,YEM
